Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=4 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_000018.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=4 | sur_steps=20 | eps=0.300
[TabPFN sync] step=002 | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.074 | gen_cycle_sec=4.503 | query_transform_sec=0.461 | batch_prepare_sec=0.516 | gpu_forward_sec=3.826 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.428
[TabPFN sync] step=002 | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.075 | gen_cycle_sec=7.226 | query_transform_sec=0.459 | batch_prepare_sec=3.185 | gpu_forward_sec=3.873 | postprocess_sec=0.062 | fallback_used=0 | fallback_reason=- | time_sec=7.149
[TabPFN sync] step=002 | gen=017/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.077 | gen_cycle_sec=4.514 | query_transform_sec=0.457 | batch_prepare_sec=0.512 | gpu_forward_sec=3.839 | postprocess_sec=0.057 | fallback_used=0 | fallback_reason=- | time_sec=4.436
[TabPFN sync] step=002 | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.073 | gen_cycle_sec=4.113 | query_transform_sec=0.459 | batch_prepare_sec=3.076 | gpu_forward_sec=0.876 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.038
[TabPFN sync] step=002 | gen=019/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.075 | gen_cycle_sec=6.832 | query_transform_sec=0.458 | batch_prepare_sec=2.797 | gpu_forward_sec=3.873 | postprocess_sec=0.058 | fallback_used=0 | fallback_reason=- | time_sec=6.755
[TabPFN sync] step=002 | gen=020/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.342 | gen_cycle_sec=4.812 | query_transform_sec=0.455 | batch_prepare_sec=0.510 | gpu_forward_sec=3.871 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.468
[TabPFN sync] step=002 | sigma | mode=std | envs=24 | points=1450 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.446 | batch_prepare_sec=2.863 | gpu_forward_sec=3.907 | postprocess_sec=0.057 | fallback_used=0 | fallback_reason=- | time_sec=6.856
[DISC sync] step=003 | envs=24 | agent_forward_sec=0.640
[ENV sync] step=003 | envs=24 | surrogate_refit_sec=46.070 | tabpfn_refit_sec=46.070 | post_action_total_sec=46.756
[TabPFN sync] step=003 | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.019 | gen_cycle_sec=4.566 | query_transform_sec=0.463 | batch_prepare_sec=3.508 | gpu_forward_sec=0.949 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.544
[TabPFN sync] step=003 | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.076 | gen_cycle_sec=7.224 | query_transform_sec=0.463 | batch_prepare_sec=3.247 | gpu_forward_sec=3.814 | postprocess_sec=0.058 | fallback_used=0 | fallback_reason=- | time_sec=7.146
