Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=10 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260516_134517.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=10 | eps=0.300
[TabPFN sync] step=015 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.990
[TabPFN sync] step=015 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.686
[TabPFN sync] step=015 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.937
[TabPFN sync] step=015 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.577
[TabPFN sync] step=015 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.898
[TabPFN sync] step=015 | sigma | mode=std | envs=24 | points=1407 | dim=25 | objective_contexts=66 | time_sec=16.551
[TabPFN sync] step=016 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.003
[TabPFN sync] step=016 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.277
[TabPFN sync] step=016 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.415
[TabPFN sync] step=016 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.144
[TabPFN sync] step=016 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.043
[TabPFN sync] step=016 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.387
[TabPFN sync] step=016 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.520
[TabPFN sync] step=016 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.104
[TabPFN sync] step=016 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.506
[TabPFN sync] step=016 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=19.008
[TabPFN sync] step=016 | sigma | mode=std | envs=24 | points=1320 | dim=25 | objective_contexts=66 | time_sec=15.967
[TabPFN sync] step=017 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.429
[TabPFN sync] step=017 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.726
[TabPFN sync] step=017 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.614
[TabPFN sync] step=017 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.110
[TabPFN sync] step=017 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.175
[TabPFN sync] step=017 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.721
[TabPFN sync] step=017 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.146
